00439.ppm;1194;504;1251;564;8
00461.ppm;1231;264;1302;331;12
00470.ppm;823;489;847;513;1
00470.ppm;904;514;938;549;13
00470.ppm;1135;218;1248;331;12
00472.ppm;880;500;925;544;12
00480.ppm;1055;444;1103;492;2
00482.ppm;732;526;768;564;12
00482.ppm;260;528;296;570;17
00482.ppm;283;564;303;590;17
00482.ppm;1055;566;1071;587;13
00491.ppm;430;568;488;637;38
00501.ppm;943;557;962;577;4
00501.ppm;610;558;628;577;4
00501.ppm;120;282;227;386;17
00501.ppm;107;637;216;748;38
00503.ppm;354;579;423;650;38
00524.ppm;187;530;241;584;7
00524.ppm;1219;528;1271;580;7
00544.ppm;1054;297;1122;358;11
00544.ppm;990;425;1028;459;25
00544.ppm;744;438;762;458;1
00556.ppm;1195;499;1253;557;38
00612.ppm;127;521;218;612;38
00612.ppm;170;374;246;451;17
00623.ppm;974;374;1034;434;4
00624.ppm;387;505;434;554;38
00624.ppm;821;464;845;488;2
00625.ppm;1037;377;1102;443;2
00640.ppm;1105;353;1176;424;4
00640.ppm;1089;257;1187;355;12
00645.ppm;1034;311;1090;367;1
00648.ppm;346;378;414;439;25
00649.ppm;819;304;866;350;12
00654.ppm;1241;301;1297;360;12
00655.ppm;935;322;984;370;12
00655.ppm;544;520;564;540;38
00668.ppm;1083;254;1172;340;2
00668.ppm;1070;139;1187;254;12
00679.ppm;720;409;759;450;33
00679.ppm;705;343;768;406;14
00682.ppm;278;426;319;467;35
00682.ppm;885;421;930;466;35
00682.ppm;261;486;290;515;38
00685.ppm;615;508;659;552;38
00688.ppm;850;410;886;446;14
00688.ppm;401;428;434;461;14
00697.ppm;944;322;1020;389;25
00701.ppm;1042;396;1088;442;2
00701.ppm;1032;333;1096;396;12
00715.ppm;285;346;351;412;38
00716.ppm;820;335;869;386;4
00716.ppm;814;266;882;335;12
00733.ppm;442;583;490;632;38
00733.ppm;508;426;543;462;4
00733.ppm;937;523;965;551;4
00754.ppm;728;593;767;632;38
00755.ppm;1084;294;1208;418;12
00755.ppm;852;518;883;549;1
00755.ppm;563;595;593;625;38
00773.ppm;879;514;903;538;1
00773.ppm;1048;430;1094;476;12
00776.ppm;861;505;893;537;1
00776.ppm;1076;315;1188;427;12
00776.ppm;646;604;667;625;38
00784.ppm;31;576;152;701;38
00795.ppm;168;612;216;663;38
00802.ppm;596;181;698;269;28
00802.ppm;610;267;683;336;1
00808.ppm;272;463;315;507;38
00808.ppm;795;264;866;326;28
00810.ppm;622;319;692;385;11
00810.ppm;460;385;492;415;18
00829.ppm;553;399;576;422;1
00829.ppm;1004;253;1114;373;12
00865.ppm;342;186;429;273;14
00865.ppm;573;490;597;514;38
00885.ppm;202;532;281;611;38
00885.ppm;230;403;296;469;17
00888.ppm;989;315;1043;370;35
00888.ppm;779;546;802;569;12
